x,y,lx,ly,lz,dl,vx,vy,exx,eyy,ezz,exy,eyx,cumexx,cumeyy,cumezz,cumexy,cumeyx,sxx,syy,sxy,syx
246796.966927536,-1541481.84882584,0.009879003737921,0.591170084465816,0.398950911796263,0.581291080727896,57.3859817450264,-7.0163232237519E-06,-0.000107479080387,-0.000172155394804,0.000279634475191,-0.000221398729693,-0.000221398729693,0.016292525542853,-0.005084799330425,-0.011207726212428,-0.012218388342518,-0.012218388342518,4.2351647362715E-22,4.2351647362715E-22,-9.3193084465E-06,9.3193084465E-06
246821.903851516,-1541430.16419831,0.009942559177735,0.591227814833153,0.398829625989112,0.581285255655417,57.3859817450264,-7.0163232237519E-06,-0.000107479080387,-0.000172155394804,0.000279634475191,-0.000221398729693,-0.000221398729693,0.016185046462466,-0.005256954725229,-0.010928091737237,-0.012439787072211,-0.012439787072211,4.2351647362715E-22,4.2351647362715E-22,-9.3193084465E-06,9.3193084465E-06
246846.840775497,-1541378.47957078,0.010006099644092,0.591285414497114,0.398708485858794,0.581279314853022,57.3859817450264,-7.0163232237519E-06,-0.000107479080387,-0.000172155394804,0.000279634475191,-0.000221398729693,-0.000221398729693,0.016077567382079,-0.005429110120033,-0.010648457262046,-0.012661185801905,-0.012661185801905,4.2351647362715E-22,4.2351647362715E-22,-9.3193084465E-06,9.3193084465E-06
246871.777699478,-1541326.79494324,0.010205210628613,0.591169701531325,0.398625087840061,0.580964490902712,57.5307838743777,-6.7029680614894E-06,-0.000825021564706,0.000276182956041,0.000548838608665,-0.000130164640153,-0.000130164640153,0.015252545817374,-0.005152927163993,-0.010099618653381,-0.012791350442057,-0.012791350442057,0,0,0.000547827243281,-0.000547827243281
246896.713782318,-1541274.9491829,0.010242894786761,0.591199091712103,0.398558013501135,0.580956196925342,57.3140731586307,-1.24237484655509E-06,-9.18203120068988E-05,-8.00899732961013E-05,0.000171910285303,-0.000107208849527,-0.000107208849527,0.015160725505367,-0.005233017137289,-0.009927708368078,-0.012898559291584,-0.012898559291584,0,0,3.0049799534E-05,-3.0049799534E-05
246921.705222137,-1541223.37078706,0.01028062145876,0.591228447253454,0.398490931287785,0.580947825794694,57.3140731586307,-1.24237484655509E-06,-9.18203120068988E-05,-8.00899732961013E-05,0.000171910285303,-0.000107208849527,-0.000107208849527,0.01506890519336,-0.005313107110585,-0.009755798082775,-0.013005768141111,-0.013005768141111,0,0,3.0049799534E-05,-3.0049799534E-05
246946.696661957,-1541171.79239121,0.010318393010955,0.591257809098362,0.398423797890683,0.580939416087408,57.3140731586307,-1.24237484655509E-06,-9.18203120068988E-05,-8.00899732961013E-05,0.000171910285303,-0.000107208849527,-0.000107208849527,0.014977084881353,-0.005393197083881,-0.009583887797472,-0.013112976990638,-0.013112976990638,0,0,3.0049799534E-05,-3.0049799534E-05
246971.688101776,-1541120.21399537,0.010508671521276,0.590893895613811,0.398597432864914,0.580385224092536,57.2369566778504,-2.35590529129581E-06,0.001140521990563,-7.47738216511315E-05,-0.001065748168912,0.00033206126012,0.00033206126012,0.016117606871916,-0.005467970905532,-0.010649635966384,-0.012780915730518,-0.012780915730518,0,0,-0.000425726888352,0.000425726888352
246996.688576706,-1541068.72569123,0.01069864847734,0.590530027764754,0.398771323757906,0.579831379287414,57.2369566778504,-2.35590529129581E-06,0.001140521990563,-7.47738216511315E-05,-0.001065748168912,0.00033206126012,0.00033206126012,0.017258128862479,-0.005542744727183,-0.011715384135296,-0.012448854470399,-0.012448854470399,0,0,-0.000425726888352,0.000425726888352
247021.689051636,-1541017.23738709,0.010888325847754,0.590166207519797,0.398945466632449,0.579277881672043,57.2369566778504,-2.35590529129581E-06,0.001140521990563,-7.47738216511315E-05,-0.001065748168912,0.00033206126012,0.00033206126012,0.018398650853042,-0.005617518548834,-0.012781132304208,-0.012116793210279,-0.012116793210279,0,0,-0.000425726888352,0.000425726888352
247046.689526565,-1540965.74908295,0.011077703632518,0.58980243487894,0.399119861488542,0.578724731246422,57.2369566778504,-2.35590529129581E-06,0.001140521990563,-7.47738216511315E-05,-0.001065748168912,0.00033206126012,0.00033206126012,0.019539172843605,-0.005692292370485,-0.01384688047312,-0.011784731950159,-0.011784731950159,0,0,-0.000425726888352,0.000425726888352
247071.690001495,-1540914.26077882,0.011265128704956,0.589441878795373,0.399292992499672,0.578176750090418,57.2369566778504,-2.35590529129581E-06,0.001140521990563,-7.47738216511315E-05,-0.001065748168912,0.00033206126012,0.00033206126012,0.020679694834169,-0.005767066192136,-0.014912628642032,-0.01145267069004,-0.01145267069004,0,0,-0.000425726888352,0.000425726888352
247096.690476425,-1540862.77247468,0.011281010412349,0.589429213789958,0.399289775797693,0.578148203377609,58.2382295771128,-3.10797867442147E-06,0.000124232545174,-5.54468797118973E-05,-6.8785665462E-05,-1.96097653756256E-05,-1.96097653756256E-05,0.020803927379342,-0.005822513071848,-0.014981414307494,-0.011472280455415,-0.011472280455415,0,0,-1.91531180465E-05,1.91531180465E-05
247121.517136581,-1540810.09108964,0.011296975178838,0.589416477537083,0.39928654728408,0.578119502358245,58.2382295771128,-3.10797867442147E-06,0.000124232545174,-5.54468797118973E-05,-6.8785665462E-05,-1.96097653756256E-05,-1.96097653756256E-05,0.020928159924516,-0.00587795995156,-0.015050199972956,-0.011491890220791,-0.011491890220791,0,0,-1.91531180465E-05,1.91531180465E-05
247146.343796737,-1540757.4097046,0.011574749293528,0.58921690432165,0.399208346384822,0.577642155028122,57.5797596053409,-2.75766368673658E-06,-0.001150749252683,0.000468481121043,0.00068226813164,-8.73685309524559E-05,-8.73685309524559E-05,0.019777410671833,-0.005409478830517,-0.014367931841316,-0.011579258751743,-0.011579258751743,-5.42101086242752E-20,-5.42101086242752E-20,0.000775388718467,-0.000775388718467
247171.300274856,-1540705.51940766,0.011854832578835,0.58901582118958,0.399129346231584,0.577160988610745,57.5797596053409,-2.75766368673658E-06,-0.001150749252683,0.000468481121043,0.00068226813164,-8.73685309524559E-05,-8.73685309524559E-05,0.01862666141915,-0.004940997709474,-0.013685663709676,-0.011666627282696,-0.011666627282696,-5.42101086242752E-20,-5.42101086242752E-20,0.000775388718467,-0.000775388718467
